NewMetName	Charged formula 	Charge	KEGG ID	CHEBI ID
ethyl hexanoate	C8H16O2	0		CHEBI:86055
octanoyl-CoA	C29H46N7O17P3S	-4	C01944	CHEBI:15533
ethyl octanoate	C10H20O2	0	C12292	CHEBI:87426
butanoyl-CoA	C25H38N7O17P3S	-4	C00136	CHEBI:57371
ethyl butanoate	C6H12O2	0		CHEBI:88764
hexanol	C6H14O	0		CHEBI:87393
hexyl acetate	C8H16O2	0		CHEBI:87510
decanoyl-CoA	C31H50N7O17P3S	-4	C05274	CHEBI:61430
ethyl decanoate	C12H24O2	0		CHEBI:87430
ethyl acetate	C4H8O2	0	C00849	CHEBI:27750
propanal	C3H6O	0	C00479	CHEBI:17153
propanol	C3H8O	0	C05979	CHEBI:28831
methional	C4H8OS	0		CHEBI:49017
methionol	C4H10OS	0		CHEBI:49019
(4-hydroxyphenyl)acetaldehyde	C8H8O2	0		CHEBI:15621
tyrosol	C8H10O2	0	C06044	CHEBI:1879
propionate	C3H6O2	0	C00163	CHEBI:30768
propionyl-CoA	C24H36N7O17P3S	-4	C00100	CHEBI:57386
ethyl propionate	C5H10O2	0		CHEBI:41330
tyrosyl acetate	C10H12O3	0
methionyl acetate	C6H12O2S	0
propyl acetate	C5H10O2	0		CHEBI:40116
ethylene	C2H4	0	C06547	CHEBI:18153
dimethyl disulfide	C2H6S2	0		CHEBI:4608
